Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,
47:22.0,00:00.0,60,7,0,0,0,1097733,164146,79326,65461,83507,71981,9321,4552,,
47:23.0,00:00.0,0,7,0,0,0,3370248,296863,63547,49983,14527,10527,8013,8799,,
47:24.0,00:00.0,74,7,0,0,0,153930,13183,22911,18984,26937,16563,15192,7733,,
47:25.0,00:00.0,74,7,0,0,0,123728,32993,17212,9862,6804,19691,15610,7187,,
47:26.0,00:00.0,73,7,0,0,0,66,30,10,10,3,2,1,1,,
47:27.0,00:00.0,60,7,0,0,0,536921,145485,160624,315829,716485,206636,184253,169267,,
47:28.0,00:00.0,74,7,0,0,0,351165,42492,7826,34818,13311,36540,21107,10082,,
47:29.0,00:00.0,74,7,0,0,0,1810688,166149,77848,73161,90365,116108,67440,72569,,
47:30.0,00:00.0,74,7,0,0,0,1500618,1265963,77747,429933,439908,345435,245455,131879,,
47:31.0,00:00.0,74,7,0,0,0,1630028,684395,102783,154674,304780,375063,232792,244222,,
47:32.0,00:00.0,74,7,0,0,0,2022121,444064,93367,228937,194840,282009,120546,73267,,
47:33.0,00:00.0,74,7,0,0,0,1797284,230883,34452,60676,197466,171687,61725,66484,,
47:34.0,00:00.0,74,7,0,0,0,270425,85002,17116,48979,38187,66170,47118,11356,,
47:35.0,00:00.0,74,7,0,0,0,1838180,555472,479248,363987,446763,143771,249446,182851,,
47:36.0,00:00.0,74,7,0,0,0,1208818,184100,7278,48059,88143,232244,122213,146022,,
47:37.0,00:00.0,74,7,0,0,0,1218705,837043,685720,420537,1089007,1453005,595565,336502,,
47:38.0,00:00.0,74,7,0,0,0,155673,26387,35995,51317,26233,26796,32580,18367,,
47:39.0,00:00.0,74,7,0,0,0,2233040,292544,52871,177088,103629,64014,19142,34095,,
47:40.0,00:00.0,74,7,0,0,0,666018,1872543,486662,637573,694708,526895,244236,202429,,
47:41.0,00:00.0,74,7,0,0,0,901354,96275,80670,67426,112962,103906,17028,12523,,
47:42.0,00:00.0,74,7,0,0,0,604002,149492,29498,38779,96764,111508,41811,43880,,
47:43.0,00:00.0,74,7,0,0,0,329962,236649,104882,79807,38741,66124,12209,11728,,
47:44.0,00:00.0,74,7,0,0,0,1216013,447474,293185,219800,40255,42597,17663,26035,,
47:45.0,00:00.0,74,7,0,0,0,1070147,220282,98291,58394,72064,88725,27320,16465,,
