Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
59:28.0,00:00.0,100,2,60,60,60,268576,111725,13635,11133,61140,17133,12970,4381,,,,,
59:29.0,00:00.0,100,2,47,48,47,865946,109622,8460,9910,6055,5892,3310,3499,,,,,
59:30.0,00:00.0,100,2,34,40,37,402359,87203,26939,6490,8002,5869,2929,3118,,,,,
59:31.0,00:00.0,100,2,24,40,32,1124725,140791,105000,20725,19496,40331,20728,5837,,,,,
59:32.0,00:00.0,100,2,34,44,39,57951,61667,2546,17835,7530,23290,24809,6018,,,,,
59:33.0,00:00.0,100,2,57,56,56,17653,20398,18794,15426,19060,26009,23180,8566,,,,,
59:34.0,00:00.0,100,2,75,54,64,664626,60292,24623,4066,25628,19482,7451,6761,,,,,
59:35.0,00:00.0,100,2,80,53,66,88738,47984,29701,13118,14071,22419,13515,4416,,,,,
59:36.0,00:00.0,100,2,90,53,71,87364,5993,2676,1875,5473,8065,1858,461,,,,,
59:37.0,00:00.0,100,2,69,48,58,12857,77702,26760,4255,21569,7153,13092,3474,,,,,
59:38.0,00:00.0,100,2,66,54,60,97790,14687,10096,1524,3351,4196,1598,1068,,,,,
59:39.0,00:00.0,100,2,53,50,51,63716,87527,12657,24532,21438,8307,4598,4703,,,,,
59:40.0,00:00.0,100,2,44,51,47,248098,78778,15449,24840,19216,41796,6512,5137,,,,,
59:41.0,00:00.0,100,2,63,50,56,645154,89922,35119,3404,10813,45513,12881,10044,,,,,
59:42.0,00:00.0,100,2,61,37,49,250763,244781,13331,23150,21240,37394,14073,10459,,,,,
59:43.0,00:00.0,100,2,61,43,52,788100,44445,24768,19057,4604,6198,3743,4007,,,,,
59:44.0,00:00.0,100,2,51,41,46,88821,27566,5426,2242,2142,4147,3628,2499,,,,,
59:45.0,00:00.0,100,2,48,30,39,509545,91880,881,9409,3599,25122,16118,19972,,,,,
59:46.0,00:00.0,100,2,56,48,52,104981,16841,6035,35668,14790,22439,19368,6088,,,,,
59:47.0,00:00.0,100,2,63,35,49,1055517,123772,17993,10638,21387,21443,9985,11457,,,,,
59:48.0,00:00.0,100,2,74,43,58,46111,20009,9831,27741,29508,16625,18220,2804,,,,,
59:49.0,00:00.0,100,2,69,61,65,29586,36347,20764,25238,15863,15392,7372,2238,,,,,
59:50.0,00:00.0,100,2,75,44,59,412801,71351,9504,16801,55371,54641,3744,4925,,,,,
59:51.0,00:00.0,100,2,96,47,71,126554,15744,13125,15968,12409,127929,5536,8019,,,,,
59:52.0,00:00.0,100,2,88,41,64,44653,42844,14858,9975,13541,17398,18064,4890,,,,,
59:53.0,00:00.0,100,2,91,43,67,8748,9378,12107,12680,8838,15467,7657,2992,,,,,
59:54.0,00:00.0,100,2,77,53,65,65864,19890,13286,1210,4084,9305,3038,1502,,,,,
59:55.0,00:00.0,100,2,69,51,60,30625,10253,4093,3867,17606,22665,10405,7431,,,,,
59:56.0,00:00.0,100,2,63,53,58,57151,71745,20050,20641,8628,10974,9717,3911,,,,,
59:57.0,00:00.0,100,1,41,34,37,982080,480198,22889,15102,20587,17151,12551,3178,,,,,
59:58.0,00:00.0,100,1,29,30,29,91036,117502,30694,16942,19326,11593,9887,6565,,,,,
59:59.0,00:00.0,100,1,14,35,24,24483,63591,12081,16490,23269,19525,7579,5292,,,,,
00:00.0,00:00.0,100,1,20,23,21,13313,85448,1297,11104,16153,16457,5851,3007,,,,,
